Pair ID,Species,Strain,StrainType,Generation,LOC,F_ID,M_ID,Npup,N_M,N_F,BirthDate,Wean Date,Parity,IBI,PrevLitterSize,Notes
60,PECA,IS,STOCK,NA,UCD,60,,1,1,0,12/23/10,,3,45,4,
62,PECA,IS,STOCK,NA,UCD,62,,4,3,1,9/21/10,,1,,NA,
62,PECA,IS,STOCK,NA,UCD,62,,4,2,2,10/24/10,,2,33,4,
62,PECA,IS,STOCK,NA,UCD,62,,4,1,3,12/12/10,,3,49,4,
62,PECA,IS,STOCK,NA,UCD,62,,4,3,1,1/15/11,,4,34,4,
62,PECA,IS,STOCK,NA,UCD,62,,4,2,2,2/19/11,,5,35,4,
62,PECA,IS,STOCK,NA,UCD,62,,4,2,2,3/26/11,,6,35,4,
62,PECA,IS,STOCK,NA,UCD,62,,2,1,1,5/4/11,,7,39,4,
63,PECA,IS,STOCK,NA,UCD,63,,1,0,1,10/21/10,,1,,NA,
65,PECA,IS,STOCK,NA,UCD,65,,2,2,0,10/16/10,,1,,NA,
66,PECA,IS,STOCK,NA,UCD,66,,2,2,0,9/24/10,,1,,NA,
66,PECA,IS,STOCK,NA,UCD,66,,3,1,2,10/21/10,,2,27,2,
66,PECA,IS,STOCK,NA,UCD,66,,2,1,1,12/1/10,,3,41,3,
66,PECA,IS,STOCK,NA,UCD,66,,2,1,1,1/4/11,,4,34,2,
66,PECA,IS,STOCK,NA,UCD,66,,3,0,3,2/7/11,,5,34,2,
66,PECA,IS,STOCK,NA,UCD,66,,3,0,3,3/18/11,,6,39,3,
66,PECA,IS,STOCK,NA,UCD,66,,2,0,2,4/24/11,,7,37,3,
67,PECA,IS,STOCK,NA,UCD,67,,3,2,1,9/29/10,,1,,NA,
67,PECA,IS,STOCK,NA,UCD,67,,3,1,2,11/4/10,,2,36,3,
67,PECA,IS,STOCK,NA,UCD,67,,3,2,1,12/11/10,,3,37,3,
67,PECA,IS,STOCK,NA,UCD,67,,1,1,0,4/4/11,,4,114,3,
67,PECA,IS,STOCK,NA,UCD,67,,2,2,0,5/5/11,,5,31,1,
68,PECA,IS,STOCK,NA,UCD,68,,2,2,0,10/19/10,,1,,NA,
68,PECA,IS,STOCK,NA,UCD,68,,3,2,1,12/1/10,,2,43,2,
68,PECA,IS,STOCK,NA,UCD,68,,3,1,2,1/5/11,,3,35,3,
68,PECA,IS,STOCK,NA,UCD,68,,2,0,2,3/19/11,,4,73,3,
68,PECA,IS,STOCK,NA,UCD,68,,2,0,2,5/25/11,,5,67,2,
69,PECA,IS,STOCK,NA,UCD,69,,1,0,1,9/16/10,,1,,NA,
69,PECA,IS,STOCK,NA,UCD,69,,3,1,2,10/21/10,,2,35,1,
69,PECA,IS,STOCK,NA,UCD,69,,1,1,0,11/25/10,,3,35,3,
69,PECA,IS,STOCK,NA,UCD,69,,2,2,0,12/27/10,,4,32,1,
69,PECA,IS,STOCK,NA,UCD,69,,4,2,2,3/3/11,,5,66,2,
69,PECA,IS,STOCK,NA,UCD,69,,2,1,1,6/7/11,,6,96,4,
70,PECA,IS,STOCK,NA,UCD,70,,2,0,2,9/21/10,,1,,NA,
70,PECA,IS,STOCK,NA,UCD,70,,2,1,1,10/25/10,,2,34,2,
70,PECA,IS,STOCK,NA,UCD,70,,3,1,2,11/29/10,,3,35,2,
70,PECA,IS,STOCK,NA,UCD,70,,3,2,1,1/3/11,,4,35,3,
70,PECA,IS,STOCK,NA,UCD,70,,2,1,1,2/25/11,,5,53,3,
70,PECA,IS,STOCK,NA,UCD,70,,2,2,0,4/17/11,,6,51,2,
70,PECA,IS,STOCK,NA,UCD,70,,3,3,0,5/18/11,,7,31,2,
73,PECA,IS,STOCK,NA,UCD,73,,2,0,2,10/24/10,,1,,NA,
73,PECA,IS,STOCK,NA,UCD,73,,3,3,0,11/29/10,,2,36,2,
73,PECA,IS,STOCK,NA,UCD,73,,3,2,1,1/3/11,,3,35,3,
74,PECA,IS,STOCK,NA,UCD,74,,2,1,1,9/16/10,,1,,NA,
74,PECA,IS,STOCK,NA,UCD,74,,2,1,1,11/25/10,,2,70,2,potential typo?
75,PECA,IS,STOCK,NA,UCD,75,,3,0,3,9/24/10,,1,,NA,
75,PECA,IS,STOCK,NA,UCD,75,,2,2,0,12/14/10,,2,81,3,
75,PECA,IS,STOCK,NA,UCD,75,,3,2,1,1/24/11,,3,41,2,
75,PECA,IS,STOCK,NA,UCD,75,,2,1,1,3/3/11,,4,38,3,
76,PECA,IS,STOCK,NA,UCD,76,,3,1,2,10/1/10,,1,,NA,
76,PECA,IS,STOCK,NA,UCD,76,,4,4,0,11/11/10,,2,41,3,
76,PECA,IS,STOCK,NA,UCD,76,,2,1,1,12/18/10,,3,37,4,
76,PECA,IS,STOCK,NA,UCD,76,,3,2,1,1/19/11,,4,32,2,
76,PECA,IS,STOCK,NA,UCD,76,,3,2,1,2/23/11,,5,35,3,
76,PECA,IS,STOCK,NA,UCD,76,,2,1,1,3/31/11,,6,36,3,
76,PECA,IS,STOCK,NA,UCD,76,,4,2,2,5/4/11,,7,34,2,
76,PECA,IS,STOCK,NA,UCD,76,,2,0,2,6/8/11,,8,35,4,
77,PECA,IS,STOCK,NA,UCD,77,,3,1,2,9/29/10,,1,,NA,
77,PECA,IS,STOCK,NA,UCD,77,,4,1,3,11/1/10,,2,33,3,
77,PECA,IS,STOCK,NA,UCD,77,,4,1,3,12/6/10,,3,35,4,
78,PECA,IS,STOCK,NA,UCD,78,,1,1,0,11/11/10,,1,,NA,
78,PECA,IS,STOCK,NA,UCD,78,,1,1,0,12/31/10,,2,50,1,
78,PECA,IS,STOCK,NA,UCD,78,,3,0,3,2/3/11,,3,34,1,
78,PECA,IS,STOCK,NA,UCD,78,,3,3,0,3/16/11,,4,41,3,
78,PECA,IS,STOCK,NA,UCD,78,,2,2,0,4/15/11,,5,30,3,
78,PECA,IS,STOCK,NA,UCD,78,,3,3,0,5/19/11,,6,34,2,
80,PECA,IS,STOCK,NA,UCD,80,,3,1,2,10/14/10,,1,,NA,
80,PECA,IS,STOCK,NA,UCD,80,,3,1,2,11/23/10,,2,40,3,
80,PECA,IS,STOCK,NA,UCD,80,,3,2,1,12/30/10,,3,37,3,
80,PECA,IS,STOCK,NA,UCD,80,,4,2,2,2/22/11,,4,54,3,
80,PECA,IS,STOCK,NA,UCD,80,,2,1,1,3/31/11,,5,37,4,
80,PECA,IS,STOCK,NA,UCD,80,,2,1,1,5/4/11,,6,34,2,
80,PECA,IS,STOCK,NA,UCD,80,,2,0,2,6/7/11,,7,34,2,
81,PECA,IS,STOCK,NA,UCD,81,,3,1,2,9/24/10,,1,,NA,
81,PECA,IS,STOCK,NA,UCD,81,,2,0,2,11/2/10,,2,39,3,
81,PECA,IS,STOCK,NA,UCD,81,,3,2,1,12/12/10,,3,40,2,
81,PECA,IS,STOCK,NA,UCD,81,,2,0,2,1/17/11,,4,36,3,
81,PECA,IS,STOCK,NA,UCD,81,,1,1,0,2/24/11,,5,38,2,
81,PECA,IS,STOCK,NA,UCD,81,,2,2,0,4/4/11,,6,39,1,
81,PECA,IS,STOCK,NA,UCD,81,,3,1,2,5/11/11,,7,37,2,
82,PECA,IS,STOCK,NA,UCD,82,,2,1,1,10/24/10,,1,,NA,
82,PECA,IS,STOCK,NA,UCD,82,,3,1,2,11/26/10,,2,33,2,
82,PECA,IS,STOCK,NA,UCD,82,,3,3,0,1/4/11,,3,39,3,
82,PECA,IS,STOCK,NA,UCD,82,,4,2,2,3/16/11,,4,71,3,
82,PECA,IS,STOCK,NA,UCD,82,,3,2,1,5/19/11,,5,64,4,
83,PECA,IS,STOCK,NA,UCD,83,,1,0,1,9/26/10,,1,,NA,
83,PECA,IS,STOCK,NA,UCD,83,,1,1,0,10/29/10,,2,33,1,
83,PECA,IS,STOCK,NA,UCD,83,,1,1,0,11/30/10,,3,32,1,
83,PECA,IS,STOCK,NA,UCD,83,,2,1,1,3/19/11,,4,109,1,
83,PECA,IS,STOCK,NA,UCD,83,,1,0,1,4/28/11,,5,40,2,
83,PECA,IS,STOCK,NA,UCD,83,,1,1,0,6/1/11,,6,34,1,
84,PECA,IS,STOCK,NA,UCD,84,,3,2,1,9/26/10,,1,,NA,
84,PECA,IS,STOCK,NA,UCD,84,,4,3,1,10/29/10,,2,33,3,
84,PECA,IS,STOCK,NA,UCD,84,,3,1,2,12/6/10,,3,38,4,
84,PECA,IS,STOCK,NA,UCD,84,,4,1,3,1/5/11,,4,30,3,
84,PECA,IS,STOCK,NA,UCD,84,,3,1,2,2/15/11,,5,41,4,
84,PECA,IS,STOCK,NA,UCD,84,,5,3,2,3/18/11,,6,31,3,
84,PECA,IS,STOCK,NA,UCD,84,,2,0,2,4/25/11,,7,38,5,
84,PECA,IS,STOCK,NA,UCD,84,,3,0,3,6/11/11,,8,47,2,
85,PECA,IS,STOCK,NA,UCD,85,,3,3,0,9/14/10,,1,,NA,
85,PECA,IS,STOCK,NA,UCD,85,,2,2,0,12/26/10,,2,103,3,
85,PECA,IS,STOCK,NA,UCD,85,,2,1,1,1/31/11,,3,36,2,
85,PECA,IS,STOCK,NA,UCD,85,,3,2,1,3/3/11,,4,31,2,
85,PECA,IS,STOCK,NA,UCD,85,,3,1,2,4/7/11,,5,35,3,
85,PECA,IS,STOCK,NA,UCD,85,,2,2,0,5/12/11,,6,35,3,
85,PECA,IS,STOCK,NA,UCD,85,,2,1,1,6/14/11,,7,33,2,
86,PECA,IS,STOCK,NA,UCD,86,,2,0,2,9/24/10,,1,,NA,
86,PECA,IS,STOCK,NA,UCD,86,,2,2,0,10/30/10,,2,36,2,
86,PECA,IS,STOCK,NA,UCD,86,,3,2,1,12/6/10,,3,37,2,
86,PECA,IS,STOCK,NA,UCD,86,,2,1,1,1/13/11,,4,38,3,
86,PECA,IS,STOCK,NA,UCD,86,,3,2,1,2/16/11,,5,34,2,
86,PECA,IS,STOCK,NA,UCD,86,,3,1,2,3/24/11,,6,36,3,
86,PECA,IS,STOCK,NA,UCD,86,,2,2,0,6/10/11,,7,78,3,
87,PECA,IS,STOCK,NA,UCD,87,,2,1,1,9/24/10,,1,,NA,
87,PECA,IS,STOCK,NA,UCD,87,,3,1,2,10/28/10,,2,34,2,
87,PECA,IS,STOCK,NA,UCD,87,,3,1,2,12/6/10,,3,39,3,
87,PECA,IS,STOCK,NA,UCD,87,,3,2,1,1/7/11,,4,32,3,
87,PECA,IS,STOCK,NA,UCD,87,,2,0,2,2/12/11,,5,36,3,
87,PECA,IS,STOCK,NA,UCD,87,,2,1,1,3/17/11,,6,33,2,
87,PECA,IS,STOCK,NA,UCD,87,,2,0,2,4/20/11,,7,34,2,
87,PECA,IS,STOCK,NA,UCD,87,,3,2,1,5/25/11,,8,35,2,
88,PECA,IS,STOCK,NA,UCD,88,,3,1,2,12/13/10,,1,,NA,
88,PECA,IS,STOCK,NA,UCD,88,,3,1,2,2/14/11,,2,63,3,
88,PECA,IS,STOCK,NA,UCD,88,,3,1,2,4/20/11,,3,65,3,
88,PECA,IS,STOCK,NA,UCD,88,,3,0,3,5/21/11,,4,31,3,
89,PECA,IS,STOCK,NA,UCD,89,,3,2,1,2/11/11,,1,,NA,
89,PECA,IS,STOCK,NA,UCD,89,,2,2,0,4/13/11,,2,61,3,
90,PECA,IS,STOCK,NA,UCD,90,,2,1,1,1/13/11,,1,,NA,
90,PECA,IS,STOCK,NA,UCD,90,,2,0,2,2/17/11,,2,35,2,
90,PECA,IS,STOCK,NA,UCD,90,,3,2,1,3/22/11,,3,33,2,
90,PECA,IS,STOCK,NA,UCD,90,,3,1,2,4/28/11,,4,37,3,
90,PECA,IS,STOCK,NA,UCD,90,,3,1,2,6/7/11,,5,40,3,
91,PECA,IS,STOCK,NA,UCD,91,,2,1,1,1/2/11,,1,,NA,
91,PECA,IS,STOCK,NA,UCD,91,,3,0,3,2/3/11,,2,32,2,
91,PECA,IS,STOCK,NA,UCD,91,,2,1,1,3/7/11,,3,32,3,
91,PECA,IS,STOCK,NA,UCD,91,,2,1,1,4/14/11,,4,38,2,
91,PECA,IS,STOCK,NA,UCD,91,,3,3,0,5/17/11,,5,33,2,
92,PECA,IS,STOCK,NA,UCD,92,,3,3,0,12/25/10,,1,,NA,
92,PECA,IS,STOCK,NA,UCD,92,,1,0,1,2/1/11,,2,38,3,
92,PECA,IS,STOCK,NA,UCD,92,,4,2,2,3/9/11,,3,36,1,
92,PECA,IS,STOCK,NA,UCD,92,,2,0,2,4/8/11,,4,30,4,
92,PECA,IS,STOCK,NA,UCD,92,,4,0,4,5/11/11,,5,33,2,
92,PECA,IS,STOCK,NA,UCD,92,,4,2,2,6/17/11,,6,37,4,
94,PECA,IS,STOCK,NA,UCD,94,,2,1,1,12/24/10,,1,,NA,
94,PECA,IS,STOCK,NA,UCD,94,,1,0,1,2/14/11,,2,52,2,
94,PECA,IS,STOCK,NA,UCD,94,,1,0,1,4/7/11,,3,52,1,
94,PECA,IS,STOCK,NA,UCD,94,,3,0,3,5/10/11,,4,33,1,
94,PECA,IS,STOCK,NA,UCD,94,,2,2,0,6/12/11,,5,33,3,
96,PECA,IS,STOCK,NA,UCD,96,,2,1,1,5/26/11,,1,,NA,
99,PECA,IS,STOCK,NA,UCD,99,,1,1,0,5/12/11,,1,,NA,
101,PECA,IS,STOCK,NA,UCD,101,,2,1,1,5/19/11,,1,,NA,
581.1,PECA,IS,STOCK,NA,UCD,581.1,,1,1,0,12/7/11,,1,,NA,
581.1,PECA,IS,STOCK,NA,UCD,581.1,,2,0,2,1/1/12,,2,25,1,
1204,PECA,IS,STOCK,NA,UCD,1204,,1,0,1,10/14/14,,1,,NA,
1204,PECA,IS,STOCK,NA,UCD,1204,,3,1,2,11/15/14,,2,32,1,
1204,PECA,IS,STOCK,NA,UCD,1204,,1,0,1,12/23/14,,3,38,3,
1204,PECA,IS,STOCK,NA,UCD,1204,,2,1,1,2/21/15,,4,60,1,
1204,PECA,IS,STOCK,NA,UCD,1204,,1,0,1,4/30/15,,5,68,2,
1204,PECA,IS,STOCK,NA,UCD,1204,,2,2,0,5/28/15,,6,28,1,
1204,PECA,IS,STOCK,NA,UCD,1204,,3,0,3,7/1/15,,7,34,2,
1204,PECA,IS,STOCK,NA,UCD,1204,,3,0,3,9/22/15,,8,83,3,
1204,PECA,IS,STOCK,NA,UCD,1204,,2,0,2,10/25/15,,9,33,3,
1204,PECA,IS,STOCK,NA,UCD,1204,,3,2,1,12/30/15,,10,66,2,
1204,PECA,IS,STOCK,NA,UCD,1204,,1,0,1,2/20/16,,11,52,3,
1204,PECA,IS,STOCK,NA,UCD,1204,,2,1,1,3/24/16,,12,33,1,
1204,PECA,IS,STOCK,NA,UCD,1204,,1,1,0,6/14/16,,13,82,2,
1204,PECA,IS,STOCK,NA,UCD,1204,,1,0,1,7/15/16,,14,31,1,
1204,PECA,IS,STOCK,NA,UCD,1204,,2,0,2,8/16/16,,15,32,1,
1204,PECA,IS,STOCK,NA,UCD,1204,,2,1,1,10/21/16,,16,66,2,
1204,PECA,IS,STOCK,NA,UCD,1204,,1,0,1,12/27/16,,17,67,2,
1204,PECA,IS,STOCK,NA,UCD,1204,,2,1,1,3/28/17,,18,91,1,
1204,PECA,IS,STOCK,NA,UCD,1204,,2,2,0,6/17/17,,19,81,2,
1204,PECA,IS,STOCK,NA,UCD,1204,,1,1,0,7/25/17,,20,38,2,
1206,PECA,IS,STOCK,NA,UCD,1206,,1,0,1,8-Jul,,1,,NA,
1206,PECA,IS,STOCK,NA,UCD,1206,,1,0,1,8/13/14,,2,36,1,
1206,PECA,IS,STOCK,NA,UCD,1206,,3,1,2,9/15/14,,3,33,1,
1206,PECA,IS,STOCK,NA,UCD,1206,,2,0,2,10/23/14,,4,38,3,
1206,PECA,IS,STOCK,NA,UCD,1206,,3,1,2,11/28/14,,5,36,2,
1206,PECA,IS,STOCK,NA,UCD,1206,,2,0,2,12/29/14,,6,31,3,
1206,PECA,IS,STOCK,NA,UCD,1206,,1,1,0,2/25/15,,7,58,2,
1206,PECA,IS,STOCK,NA,UCD,1206,,1,1,0,4/5/15,,8,39,1,
1206,PECA,IS,STOCK,NA,UCD,1206,,2,0,2,5/9/15,,9,34,1,
1206,PECA,IS,STOCK,NA,UCD,1206,,3,2,1,6/18/15,,10,40,2,
1206,PECA,IS,STOCK,NA,UCD,1206,,3,1,2,7/20/15,,11,32,3,
1206,PECA,IS,STOCK,NA,UCD,1206,,3,2,1,8/27/15,,12,38,3,
1206,PECA,IS,STOCK,NA,UCD,1206,,3,1,2,10/4/15,,13,38,3,
1206,PECA,IS,STOCK,NA,UCD,1206,,2,1,1,11/11/15,,14,38,3,
1206,PECA,IS,STOCK,NA,UCD,1206,,2,0,2,12/16/15,,15,35,2,
1206,PECA,IS,STOCK,NA,UCD,1206,,3,1,2,1/25/16,,16,40,2,
1206,PECA,IS,STOCK,NA,UCD,1206,,3,1,2,2/25/16,,17,31,3,
1206,PECA,IS,STOCK,NA,UCD,1206,,2,1,1,4/1/16,,18,36,3,
1206,PECA,IS,STOCK,NA,UCD,1206,,2,2,0,5/9/16,,19,38,2,
1206,PECA,IS,STOCK,NA,UCD,1206,,2,1,1,6/8/16,,20,30,2,
1206,PECA,IS,STOCK,NA,UCD,1206,,2,1,1,7/15/16,,21,37,2,
1207,PECA,IS,STOCK,NA,UCD,1207,,2,2,0,8/13/14,,1,,NA,
1207,PECA,IS,STOCK,NA,UCD,1207,,2,1,1,10/21/14,,2,69,2,
1207,PECA,IS,STOCK,NA,UCD,1207,,3,1,2,11/28/14,,3,38,2,
1207,PECA,IS,STOCK,NA,UCD,1207,,2,0,2,1/3/15,,4,36,3,
1207,PECA,IS,STOCK,NA,UCD,1207,,3,0,3,1/31/15,,5,28,2,
1207,PECA,IS,STOCK,NA,UCD,1207,,3,2,1,7/8/15,,6,158,3,
1208,PECA,IS,STOCK,NA,UCD,1208,,1,1,0,8/20/14,,1,,NA,
1208,PECA,IS,STOCK,NA,UCD,1208,,2,1,1,9/13/14,,2,24,1,
1208,PECA,IS,STOCK,NA,UCD,1208,,1,1,0,10/21/14,,3,38,2,
1208,PECA,IS,STOCK,NA,UCD,1208,,1,0,1,11/23/14,,4,33,1,
1208,PECA,IS,STOCK,NA,UCD,1208,,1,1,0,1/23/15,,5,61,1,
1208,PECA,IS,STOCK,NA,UCD,1208,,3,0,3,2/24/15,,6,32,1,
1208,PECA,IS,STOCK,NA,UCD,1208,,1,1,0,4/2/15,,7,37,3,
1208,PECA,IS,STOCK,NA,UCD,1208,,3,3,0,5/1/15,,8,29,1,
1208,PECA,IS,STOCK,NA,UCD,1208,,1,1,0,6/16/15,,9,46,3,
1208,PECA,IS,STOCK,NA,UCD,1208,,2,2,0,7/15/15,,10,29,1,
1208,PECA,IS,STOCK,NA,UCD,1208,,2,2,0,8/21/15,,11,37,2,
1208,PECA,IS,STOCK,NA,UCD,1208,,5,2,3,9/24/15,,12,34,2,
1208,PECA,IS,STOCK,NA,UCD,1208,,2,2,0,11/4/15,,13,41,5,
1208,PECA,IS,STOCK,NA,UCD,1208,,1,0,1,12/9/15,,14,35,2,
1208,PECA,IS,STOCK,NA,UCD,1208,,3,1,2,1/9/16,,15,31,1,
1208,PECA,IS,STOCK,NA,UCD,1208,,3,2,1,2/15/16,,16,37,3,
1208,PECA,IS,STOCK,NA,UCD,1208,,3,2,1,3/24/16,,17,38,3,
1208,PECA,IS,STOCK,NA,UCD,1208,,2,1,1,5/30/16,,18,67,3,
1222,PECA,IS,STOCK,NA,UCD,1222,,2,1,1,9/1/14,,1,,NA,
1222,PECA,IS,STOCK,NA,UCD,1222,,1,1,0,10/8/14,,2,37,2,
1222,PECA,IS,STOCK,NA,UCD,1222,,1,0,1,11/10/14,,3,33,1,
1222,PECA,IS,STOCK,NA,UCD,1222,,1,0,1,1/16/15,,4,67,1,
1222,PECA,IS,STOCK,NA,UCD,1222,,1,0,1,2/21/15,,5,36,1,
1222,PECA,IS,STOCK,NA,UCD,1222,,2,2,0,3/25/15,,6,32,1,
1222,PECA,IS,STOCK,NA,UCD,1222,,2,1,1,7/5/15,,7,102,2,
1222,PECA,IS,STOCK,NA,UCD,1222,,2,0,2,8/5/15,,8,31,2,
1222,PECA,IS,STOCK,NA,UCD,1222,,2,2,0,9/7/15,,9,33,2,
1222,PECA,IS,STOCK,NA,UCD,1222,,2,1,1,10/12/15,,10,35,2,
1222,PECA,IS,STOCK,NA,UCD,1222,,3,2,1,11/12/15,,11,31,2,
1222,PECA,IS,STOCK,NA,UCD,1222,,3,2,1,12/18/15,,12,36,3,
1222,PECA,IS,STOCK,NA,UCD,1222,,3,0,3,1/17/16,,13,30,3,
1223,PECA,IS,STOCK,NA,UCD,1223,,1,0,1,8/28/14,,1,,NA,
1223,PECA,IS,STOCK,NA,UCD,1223,,2,0,2,10/2/14,,2,35,1,
1223,PECA,IS,STOCK,NA,UCD,1223,,1,1,0,11/13/14,,3,42,2,
1223,PECA,IS,STOCK,NA,UCD,1223,,2,0,2,12/25/14,,4,42,1,
1223,PECA,IS,STOCK,NA,UCD,1223,,2,0,2,2/2/15,,5,39,2,
1223,PECA,IS,STOCK,NA,UCD,1223,,1,1,0,4/16/15,,6,73,2,
1223,PECA,IS,STOCK,NA,UCD,1223,,1,1,0,5/21/15,,7,35,1,
1223,PECA,IS,STOCK,NA,UCD,1223,,2,2,0,6/25/15,,8,35,1,
1223,PECA,IS,STOCK,NA,UCD,1223,,1,1,0,8/4/15,,9,40,2,
1223,PECA,IS,STOCK,NA,UCD,1223,,2,2,0,9/2/15,,10,29,1,
1223,PECA,IS,STOCK,NA,UCD,1223,,4,2,2,10/23/15,,11,51,2,
1223,PECA,IS,STOCK,NA,UCD,1223,,1,0,1,12/30/15,,12,68,4,
1223,PECA,IS,STOCK,NA,UCD,1223,,1,0,1,4/1/16,,13,93,1,
1223,PECA,IS,STOCK,NA,UCD,1223,,1,1,0,6/30/16,,14,90,1,
1245,PECA,IS,STOCK,NA,UCD,1245,,2,2,0,6/11/15,,1,,NA,
1245,PECA,IS,STOCK,NA,UCD,1245,,2,1,1,7/13/15,,2,32,2,
1245,PECA,IS,STOCK,NA,UCD,1245,,3,3,0,8/15/15,,3,33,2,
1245,PECA,IS,STOCK,NA,UCD,1245,,2,0,2,9/17/15,,4,33,3,
1248,PECA,IS,STOCK,NA,UCD,1248,,2,2,0,3/24/15,,1,,NA,
1248,PECA,IS,STOCK,NA,UCD,1248,,2,1,1,4/30/15,,2,37,2,
1248,PECA,IS,STOCK,NA,UCD,1248,,2,0,2,6/9/15,,3,40,2,
1248,PECA,IS,STOCK,NA,UCD,1248,,2,1,1,7/14/15,,4,35,2,
1248,PECA,IS,STOCK,NA,UCD,1248,,2,2,0,8/25/15,,5,42,2,
1248,PECA,IS,STOCK,NA,UCD,1248,,2,2,0,11/10/15,,6,77,2,
1248,PECA,IS,STOCK,NA,UCD,1248,,2,1,1,12/20/15,,7,40,2,
1248,PECA,IS,STOCK,NA,UCD,1248,,2,2,0,1/28/16,,8,39,2,
1248,PECA,IS,STOCK,NA,UCD,1248,,1,0,1,3/7/16,,9,39,2,
1248,PECA,IS,STOCK,NA,UCD,1248,,2,0,2,4/13/16,,10,37,1,
1248,PECA,IS,STOCK,NA,UCD,1248,,1,1,0,6/16/16,,11,64,2,
1248,PECA,IS,STOCK,NA,UCD,1248,,1,1,0,8/21/16,,12,66,1,
1248,PECA,IS,STOCK,NA,UCD,1248,,2,2,0,9/28/16,,13,38,1,
1248,PECA,IS,STOCK,NA,UCD,1248,,1,1,0,11/8/16,,14,41,2,
1248,PECA,IS,STOCK,NA,UCD,1248,,1,0,1,1/12/17,,15,65,1,
1248,PECA,IS,STOCK,NA,UCD,1248,,1,0,1,2/20/17,,16,39,1,
1254,PECA,IS,STOCK,NA,UCD,1254,,1,1,0,1/9/16,,6,137,1,
1257,PECA,IS,STOCK,NA,UCD,1257,,1,0,1,1/8/15,,1,,NA,
1257,PECA,IS,STOCK,NA,UCD,1257,,2,2,0,2/5/15,,2,28,1,
1257,PECA,IS,STOCK,NA,UCD,1257,,1,0,1,6/21/15,,3,136,2,
1257,PECA,IS,STOCK,NA,UCD,1257,,1,1,0,7/20/15,,4,29,1,
1257,PECA,IS,STOCK,NA,UCD,1257,,3,2,1,8/25/15,,5,36,1,
1315,PECA,IS,STOCK,NA,UCD,1315,,1,0,1,7/9/15,,1,,NA,
1315,PECA,IS,STOCK,NA,UCD,1315,,2,1,1,8/8/15,,2,30,1,
1315,PECA,IS,STOCK,NA,UCD,1315,,2,2,0,9/9/15,,3,32,2,
1315,PECA,IS,STOCK,NA,UCD,1315,,3,2,1,10/12/15,,4,33,2,
